customer_id,age,gender,segment,tier,city,state,annual_income_inr,credit_score,join_date,is_churned,churn_date
CUST00001,26,Male,Millennial,Basic,Kolkata,West Bengal,776406,747,2022-10-17,0,
CUST00002,25,Female,Boomer,Basic,Delhi,Delhi,1330061,744,2021-04-25,0,
CUST00003,18,Male,Gen-X,Elite,Mumbai,Maharashtra,848238,585,2021-01-26,0,
CUST00004,21,Female,Millennial,Basic,Chennai,Tamil Nadu,1033327,754,2023-01-30,1,2023-04-11
CUST00005,32,Male,Gen-Z,Elite,Bangalore,Karnataka,329876,688,2021-10-09,0,
CUST00006,26,Female,Gen-Z,Basic,Jaipur,Rajasthan,419025,813,2021-09-08,0,
CUST00007,30,Male,Gen-Z,Premium,Pune,Maharashtra,331085,606,2021-08-17,0,
CUST00008,43,Male,Gen-X,Premium,Hyderabad,Telangana,1804489,659,2021-05-23,0,
CUST00009,41,Male,Millennial,Basic,Bangalore,Karnataka,885211,723,2023-01-25,0,
CUST00010,61,Male,Gen-X,Basic,Delhi,Delhi,1629146,755,2021-04-15,0,
CUST00011,58,Female,Gen-Z,Basic,Jaipur,Rajasthan,504774,774,2022-11-24,1,2023-03-18
CUST00012,59,Male,Boomer,Premium,Pune,Maharashtra,1609927,613,2023-01-29,0,
CUST00013,23,Female,Gen-X,Premium,Delhi,Delhi,959083,801,2022-07-13,0,
CUST00014,55,Male,Gen-Z,Premium,Hyderabad,Telangana,497918,816,2021-03-31,0,
CUST00015,55,Male,Gen-Z,Basic,Ahmedabad,Gujarat,472540,642,2022-08-28,0,
CUST00016,34,Male,Gen-Z,Basic,Mumbai,Maharashtra,309269,732,2022-03-09,0,
CUST00017,22,Male,Millennial,Basic,Ahmedabad,Gujarat,640996,849,2021-02-02,0,
CUST00018,19,Female,Millennial,Basic,Pune,Maharashtra,687300,763,2021-01-31,0,
CUST00019,22,Female,Millennial,Premium,Ahmedabad,Gujarat,550789,691,2021-04-06,0,
CUST00020,30,Female,Millennial,Elite,Pune,Maharashtra,748303,632,2021-08-12,0,
CUST00021,59,Female,Millennial,Premium,Chennai,Tamil Nadu,519041,648,2021-08-27,0,
CUST00022,46,Female,Gen-Z,Basic,Chennai,Tamil Nadu,465955,830,2022-06-02,0,
CUST00023,26,Female,Millennial,Elite,Surat,Gujarat,648050,651,2022-09-09,0,
CUST00024,23,Female,Millennial,Premium,Surat,Gujarat,700902,620,2021-01-28,0,
CUST00025,39,Male,Millennial,Elite,Ahmedabad,Gujarat,1137330,815,2022-07-29,0,
CUST00026,25,Female,Gen-X,Premium,Kolkata,West Bengal,1403380,679,2021-07-23,0,
CUST00027,20,Female,Gen-Z,Basic,Ahmedabad,Gujarat,380704,609,2023-01-04,1,2024-01-04
CUST00028,47,Male,Millennial,Basic,Ahmedabad,Gujarat,918923,668,2022-10-28,0,
CUST00029,21,Female,Millennial,Premium,Kolkata,West Bengal,641170,812,2022-12-20,0,
CUST00030,28,Male,Gen-Z,Basic,Mumbai,Maharashtra,322318,570,2022-07-13,1,2023-12-30
CUST00031,54,Female,Millennial,Basic,Jaipur,Rajasthan,514634,646,2022-03-06,0,
CUST00032,45,Male,Gen-Z,Premium,Kolkata,West Bengal,585458,550,2021-08-14,0,
CUST00033,64,Male,Gen-Z,Premium,Pune,Maharashtra,517383,752,2022-04-05,0,
CUST00034,43,Male,Boomer,Premium,Jaipur,Rajasthan,1559937,677,2022-08-27,0,
CUST00035,49,Female,Boomer,Basic,Hyderabad,Telangana,1777101,681,2021-10-12,0,
CUST00036,19,Male,Gen-X,Basic,Mumbai,Maharashtra,1917954,583,2023-04-09,0,
CUST00037,42,Female,Millennial,Premium,Hyderabad,Telangana,1015839,636,2023-06-10,0,
CUST00038,61,Female,Gen-Z,Elite,Surat,Gujarat,508196,581,2021-01-07,0,
CUST00039,45,Male,Gen-X,Premium,Bangalore,Karnataka,1204219,808,2023-02-17,0,
CUST00040,29,Non-binary,Millennial,Elite,Chennai,Tamil Nadu,572812,582,2023-04-06,0,
CUST00041,40,Male,Gen-Z,Premium,Hyderabad,Telangana,472116,835,2021-06-13,0,
CUST00042,31,Female,Millennial,Premium,Delhi,Delhi,903377,598,2022-12-16,0,
CUST00043,29,Male,Gen-Z,Basic,Ahmedabad,Gujarat,585671,835,2022-03-09,1,2022-08-04
CUST00044,35,Male,Boomer,Premium,Pune,Maharashtra,1131084,631,2021-12-15,0,
CUST00045,35,Male,Millennial,Premium,Hyderabad,Telangana,983565,693,2021-10-12,0,
CUST00046,46,Female,Gen-X,Premium,Hyderabad,Telangana,1489964,829,2021-06-09,1,2022-08-07
CUST00047,27,Female,Millennial,Basic,Bangalore,Karnataka,623732,641,2021-08-09,1,2022-06-25
CUST00048,20,Male,Millennial,Premium,Surat,Gujarat,914445,773,2023-02-21,0,
CUST00049,57,Male,Millennial,Basic,Ahmedabad,Gujarat,878081,766,2021-12-11,0,
CUST00050,57,Non-binary,Gen-Z,Premium,Ahmedabad,Gujarat,448171,705,2021-04-15,0,
CUST00051,57,Male,Boomer,Basic,Bangalore,Karnataka,1216107,826,2021-04-05,1,2022-08-15
CUST00052,33,Male,Gen-X,Premium,Kolkata,West Bengal,996785,557,2022-01-25,0,
CUST00053,59,Male,Boomer,Basic,Bangalore,Karnataka,1156173,585,2021-04-10,0,
CUST00054,36,Male,Gen-X,Basic,Delhi,Delhi,1526783,673,2022-01-03,0,
CUST00055,49,Female,Millennial,Basic,Jaipur,Rajasthan,842614,558,2023-05-18,0,
CUST00056,44,Female,Boomer,Premium,Delhi,Delhi,1186423,589,2021-12-19,0,
CUST00057,53,Male,Gen-Z,Basic,Bangalore,Karnataka,323255,728,2022-09-11,0,
CUST00058,48,Female,Gen-Z,Basic,Chennai,Tamil Nadu,357232,678,2021-09-28,0,
CUST00059,21,Female,Gen-Z,Premium,Kolkata,West Bengal,396291,617,2023-04-07,0,
CUST00060,23,Male,Millennial,Basic,Chennai,Tamil Nadu,793542,703,2021-02-14,0,
CUST00061,35,Male,Millennial,Elite,Delhi,Delhi,915756,552,2023-01-18,0,
CUST00062,42,Female,Millennial,Elite,Ahmedabad,Gujarat,1104341,814,2022-04-16,0,
CUST00063,26,Male,Gen-X,Premium,Delhi,Delhi,990997,553,2022-07-04,1,2024-04-08
CUST00064,44,Male,Millennial,Basic,Mumbai,Maharashtra,510561,811,2021-05-08,0,
CUST00065,30,Female,Millennial,Premium,Surat,Gujarat,814465,831,2022-01-23,0,
CUST00066,59,Female,Millennial,Basic,Pune,Maharashtra,802472,634,2021-03-22,1,2022-03-06
CUST00067,51,Female,Gen-Z,Basic,Mumbai,Maharashtra,465570,584,2022-07-20,0,
CUST00068,33,Male,Gen-X,Basic,Bangalore,Karnataka,1799866,663,2021-10-28,1,2023-02-24
CUST00069,58,Female,Gen-Z,Elite,Hyderabad,Telangana,540708,608,2023-04-30,0,
CUST00070,52,Female,Boomer,Basic,Chennai,Tamil Nadu,720051,587,2022-10-06,0,
CUST00071,19,Non-binary,Gen-X,Premium,Jaipur,Rajasthan,1920794,582,2022-09-26,0,
CUST00072,42,Female,Gen-Z,Premium,Mumbai,Maharashtra,333124,752,2023-06-02,1,2024-02-18
CUST00073,63,Female,Gen-Z,Basic,Kolkata,West Bengal,490371,751,2022-01-06,1,2023-08-26
CUST00074,40,Female,Gen-X,Basic,Chennai,Tamil Nadu,1606887,649,2022-08-15,0,
CUST00075,48,Male,Gen-X,Elite,Mumbai,Maharashtra,1615852,667,2021-07-16,0,
CUST00076,52,Female,Gen-X,Premium,Ahmedabad,Gujarat,1118421,792,2022-12-23,0,
CUST00077,49,Male,Gen-X,Premium,Pune,Maharashtra,1196414,578,2021-03-13,0,
CUST00078,40,Female,Gen-Z,Basic,Delhi,Delhi,464603,776,2021-02-16,0,
CUST00079,54,Non-binary,Millennial,Basic,Delhi,Delhi,639711,762,2022-11-09,0,
CUST00080,50,Male,Gen-Z,Basic,Mumbai,Maharashtra,306093,736,2021-08-22,0,
CUST00081,38,Female,Gen-X,Basic,Bangalore,Karnataka,1474573,662,2023-03-03,0,
CUST00082,42,Female,Millennial,Basic,Kolkata,West Bengal,825695,848,2021-10-24,0,
CUST00083,35,Male,Millennial,Premium,Bangalore,Karnataka,959711,710,2021-03-23,0,
CUST00084,29,Male,Gen-Z,Basic,Chennai,Tamil Nadu,344010,568,2023-05-26,0,
CUST00085,19,Male,Millennial,Basic,Surat,Gujarat,1088647,813,2021-08-27,1,2022-11-17
CUST00086,38,Male,Millennial,Premium,Pune,Maharashtra,602355,708,2023-06-07,0,
CUST00087,56,Female,Gen-X,Premium,Pune,Maharashtra,1869612,560,2021-04-14,0,
CUST00088,32,Male,Millennial,Basic,Delhi,Delhi,814664,557,2022-01-25,0,
CUST00089,19,Male,Gen-X,Premium,Pune,Maharashtra,1459766,702,2021-10-12,1,2022-09-04
CUST00090,35,Female,Millennial,Basic,Bangalore,Karnataka,1127606,662,2022-04-10,0,
CUST00091,21,Female,Gen-Z,Basic,Kolkata,West Bengal,389973,697,2022-10-13,0,
CUST00092,48,Male,Gen-X,Basic,Kolkata,West Bengal,1018192,587,2023-05-05,1,
CUST00093,51,Male,Gen-X,Premium,Delhi,Delhi,1334901,684,2022-01-09,0,
CUST00094,40,Female,Millennial,Basic,Mumbai,Maharashtra,671057,784,2021-06-16,0,
CUST00095,55,Male,Gen-X,Basic,Kolkata,West Bengal,1433412,804,2022-01-15,0,
CUST00096,32,Female,Millennial,Basic,Bangalore,Karnataka,692680,623,2021-12-30,1,2022-08-10
CUST00097,28,Female,Millennial,Premium,Hyderabad,Telangana,1105142,825,2021-08-03,0,
CUST00098,24,Male,Millennial,Basic,Mumbai,Maharashtra,925127,758,2022-11-18,0,
CUST00099,33,Female,Gen-Z,Basic,Surat,Gujarat,300072,816,2021-10-01,0,
CUST00100,60,Male,Gen-Z,Basic,Jaipur,Rajasthan,541642,693,2022-12-20,0,
CUST00101,33,Male,Gen-Z,Basic,Ahmedabad,Gujarat,399063,591,2022-12-01,1,2023-03-12
CUST00102,35,Female,Millennial,Premium,Pune,Maharashtra,724145,773,2022-10-26,0,
CUST00103,52,Male,Millennial,Premium,Pune,Maharashtra,768143,601,2021-03-15,0,
CUST00104,65,Female,Millennial,Basic,Hyderabad,Telangana,941183,686,2022-09-16,1,2024-02-15
CUST00105,21,Female,Boomer,Basic,Mumbai,Maharashtra,1130472,744,2022-10-13,0,
CUST00106,32,Male,Gen-Z,Basic,Delhi,Delhi,488590,644,2021-06-25,0,
CUST00107,54,Non-binary,Millennial,Basic,Bangalore,Karnataka,602746,807,2022-07-01,0,
CUST00108,42,Male,Gen-X,Basic,Hyderabad,Telangana,1964197,574,2023-01-17,0,
CUST00109,40,Male,Gen-Z,Premium,Ahmedabad,Gujarat,518881,781,2021-09-08,0,
CUST00110,29,Female,Gen-Z,Elite,Kolkata,West Bengal,375062,643,2021-06-17,0,
CUST00111,29,Female,Millennial,Elite,Delhi,Delhi,1006918,770,2022-04-19,0,
CUST00112,33,Female,Gen-Z,Elite,Jaipur,Rajasthan,472507,846,2022-01-24,0,
CUST00113,55,Female,Boomer,Premium,Delhi,Delhi,731026,752,2021-10-04,0,
CUST00114,38,Male,Gen-X,Premium,Hyderabad,Telangana,1013835,630,2022-10-18,0,
CUST00115,65,Male,Millennial,Basic,Surat,Gujarat,528915,754,2022-12-06,0,
CUST00116,62,Male,Gen-X,Premium,Hyderabad,Telangana,1771085,626,2022-07-25,0,
CUST00117,40,Female,Gen-X,Basic,Hyderabad,Telangana,1462045,587,2021-08-13,0,
CUST00118,55,Male,Gen-Z,Basic,Hyderabad,Telangana,395024,744,2022-12-03,1,2024-01-13
CUST00119,19,Male,Gen-X,Premium,Delhi,Delhi,951613,591,2021-11-29,1,2022-06-30
CUST00120,63,Male,Millennial,Basic,Hyderabad,Telangana,838832,731,2023-05-14,0,
CUST00121,62,Male,Gen-X,Basic,Mumbai,Maharashtra,1430313,794,2023-02-26,1,2023-04-10
CUST00122,40,Female,Gen-X,Elite,Delhi,Delhi,1642338,744,2023-03-06,1,
CUST00123,54,Female,Millennial,Basic,Kolkata,West Bengal,1178956,627,2021-02-27,0,
CUST00124,54,Male,Gen-Z,Basic,Mumbai,Maharashtra,430483,674,2021-08-23,0,
CUST00125,27,Male,Gen-Z,Elite,Ahmedabad,Gujarat,421810,690,2023-04-22,1,2023-09-06
CUST00126,54,Female,Millennial,Premium,Kolkata,West Bengal,758951,576,2021-02-02,0,
CUST00127,30,Male,Gen-X,Premium,Jaipur,Rajasthan,1792308,830,2023-04-05,0,
CUST00128,49,Female,Gen-X,Basic,Pune,Maharashtra,987580,842,2021-11-20,0,
CUST00129,52,Male,Gen-Z,Basic,Delhi,Delhi,403143,791,2022-02-15,0,
CUST00130,37,Male,Millennial,Elite,Pune,Maharashtra,1007479,785,2021-10-02,0,
CUST00131,29,Female,Millennial,Premium,Delhi,Delhi,510986,752,2021-03-09,0,
CUST00132,49,Male,Gen-Z,Premium,Kolkata,West Bengal,386814,691,2021-08-05,0,
