metric_id,customer_id,date_id,month,features_adopted,features_active,monthly_revenue_inr,clv_inr,nps_score,support_tickets,login_frequency,churn_risk_score,cross_sell_flag
MET000001,CUST00671,20230701,2023-07-01,4,4,2136.02,43081.58,9,0,20,0.9575,1
MET000002,CUST00186,20221201,2022-12-01,6,1,2614.72,25244.22,3,3,11,0.2516,0
MET000003,CUST02023,20231201,2023-12-01,5,3,3127.89,18677.41,5,5,13,0.9205,0
MET000004,CUST01064,20220901,2022-09-01,5,4,449.16,10595.76,10,2,4,0.7332,1
MET000005,CUST01728,20230601,2023-06-01,6,0,201.96,5065.67,4,3,29,0.3092,1
MET000006,CUST04038,20220401,2022-04-01,3,5,324.88,18524.33,7,3,21,0.5736,0
MET000007,CUST02677,20240201,2024-02-01,4,4,776.7,12617.89,2,2,17,0.8702,0
MET000008,CUST01789,20230201,2023-02-01,2,3,2497.06,52123.14,2,3,5,0.0264,0
MET000009,CUST01406,20240201,2024-02-01,4,3,1930.53,19387.08,4,1,5,0.0165,0
MET000010,CUST04344,20220201,2022-02-01,5,3,1084.43,16024.55,8,1,9,0.6321,0
MET000011,CUST00314,20231201,2023-12-01,5,4,3535.32,46805.03,1,2,27,0.3563,1
MET000012,CUST01199,20220201,2022-02-01,4,4,313.09,4215.16,2,4,29,0.9868,0
MET000013,CUST00894,20220401,2022-04-01,3,1,465.35,2818.93,4,5,0,0.8283,1
MET000014,CUST01559,20221201,2022-12-01,4,5,765.61,14199.72,10,1,23,0.6676,0
MET000015,CUST00903,20221201,2022-12-01,3,5,104.08,6558.84,8,1,8,0.6691,0
MET000016,CUST04642,20240401,2024-04-01,2,3,1363.24,14707.4,5,0,19,0.7576,0
MET000017,CUST01233,20230401,2023-04-01,4,5,1140.15,7696.67,3,4,21,0.7419,0
MET000018,CUST04068,20230401,2023-04-01,4,1,380.35,9609.82,10,5,30,0.8422,0
MET000019,CUST02576,20240601,2024-06-01,2,4,435.93,6597.97,9,1,2,0.8158,0
MET000020,CUST03271,20240301,2024-03-01,2,5,371.0,4707.84,6,1,11,0.8836,0
MET000021,CUST03842,20220501,2022-05-01,1,1,2052.74,16541.55,4,3,23,0.2849,1
MET000022,CUST02915,20220301,2022-03-01,3,0,476.12,3464.1,1,0,15,0.8569,0
MET000023,CUST00933,20231101,2023-11-01,6,1,397.92,1790.25,5,5,4,0.6233,0
MET000024,CUST00972,20231001,2023-10-01,1,0,119.37,3811.16,6,0,24,0.8799,1
MET000025,CUST02343,20231101,2023-11-01,3,5,338.48,9914.44,8,4,13,0.7579,1
MET000026,CUST03572,20221201,2022-12-01,6,3,467.28,6504.64,1,1,10,0.1845,0
MET000027,CUST04595,20240101,2024-01-01,6,4,356.78,4777.67,10,2,28,0.8468,0
MET000028,CUST01077,20240101,2024-01-01,2,2,188.39,6248.35,2,1,17,0.3919,1
MET000029,CUST02614,20220201,2022-02-01,3,5,421.24,1952.99,7,2,0,0.1558,1
MET000030,CUST01049,20231201,2023-12-01,6,1,1353.93,13639.9,1,4,28,0.6985,1
MET000031,CUST03643,20240401,2024-04-01,4,2,288.4,4131.07,4,0,24,0.8238,1
MET000032,CUST01848,20220101,2022-01-01,6,3,171.18,3967.24,2,0,15,0.9839,0
MET000033,CUST02808,20220801,2022-08-01,6,3,3175.47,24987.44,4,2,7,0.1653,0
MET000034,CUST00755,20230801,2023-08-01,1,4,1122.08,32480.85,6,3,30,0.8211,0
MET000035,CUST02656,20240101,2024-01-01,6,1,419.21,12730.35,5,1,18,0.4547,0
MET000036,CUST04292,20230401,2023-04-01,3,5,835.88,16691.71,7,2,23,0.6397,0
MET000037,CUST01027,20221001,2022-10-01,4,3,3114.35,49652.38,4,1,27,0.8159,1
MET000038,CUST04167,20230301,2023-03-01,5,2,938.47,31469.61,6,1,4,0.9461,0
MET000039,CUST04661,20230601,2023-06-01,6,5,1355.35,4838.57,8,3,17,0.9419,0
MET000040,CUST02055,20220601,2022-06-01,2,2,235.46,5516.73,4,1,2,0.5157,0
MET000041,CUST04241,20221001,2022-10-01,3,1,379.74,5677.51,5,1,4,0.677,0
MET000042,CUST03177,20240501,2024-05-01,1,4,494.05,6745.53,1,4,9,0.5868,0
MET000043,CUST03137,20240401,2024-04-01,3,0,280.16,2127.82,2,1,22,0.7825,0
MET000044,CUST03588,20240401,2024-04-01,2,3,1307.99,13564.68,3,2,23,0.6106,0
MET000045,CUST04810,20230601,2023-06-01,2,4,593.96,17558.46,7,2,5,0.7706,1
MET000046,CUST02090,20240101,2024-01-01,2,1,158.59,6716.04,3,0,15,0.393,1
MET000047,CUST03380,20240201,2024-02-01,3,3,330.23,4770.51,3,1,11,0.6355,1
MET000048,CUST02297,20230701,2023-07-01,4,1,386.08,4253.23,7,0,15,0.106,0
MET000049,CUST03953,20230601,2023-06-01,3,3,384.75,6707.6,3,2,10,0.4709,0
MET000050,CUST03221,20221001,2022-10-01,3,3,2687.57,17897.99,8,3,0,0.4564,0
MET000051,CUST03492,20221101,2022-11-01,3,0,194.43,4047.23,9,1,19,0.5178,1
MET000052,CUST03666,20230901,2023-09-01,3,1,869.88,18601.6,5,0,7,0.9287,1
MET000053,CUST02562,20220101,2022-01-01,1,2,1106.35,15951.49,5,2,4,0.9285,1
MET000054,CUST02815,20240501,2024-05-01,4,3,171.24,5246.83,10,2,11,0.3909,0
MET000055,CUST04515,20230301,2023-03-01,6,0,1232.22,13618.11,5,0,19,0.2648,0
MET000056,CUST02512,20230701,2023-07-01,6,4,1130.83,53691.12,6,2,6,0.7895,1
MET000057,CUST00561,20231101,2023-11-01,2,1,208.72,4789.34,8,3,13,0.8416,0
MET000058,CUST02183,20240601,2024-06-01,3,3,901.19,5652.58,8,1,16,0.0258,0
MET000059,CUST04855,20221001,2022-10-01,1,2,3129.92,19594.09,6,3,10,0.109,0
MET000060,CUST03989,20240501,2024-05-01,5,0,384.61,15304.8,2,4,30,0.2946,0
MET000061,CUST00837,20221201,2022-12-01,4,4,3109.98,15931.35,1,4,10,0.0866,0
MET000062,CUST00199,20231201,2023-12-01,2,3,340.13,2900.55,9,2,18,0.8327,1
MET000063,CUST03663,20240301,2024-03-01,6,1,480.35,7199.86,7,4,15,0.4232,1
MET000064,CUST02241,20240501,2024-05-01,4,2,606.74,12919.48,5,5,19,0.687,0
MET000065,CUST03565,20221201,2022-12-01,6,5,103.22,4036.73,3,4,17,0.601,0
MET000066,CUST04116,20230601,2023-06-01,5,0,475.76,6368.86,9,4,16,0.4151,0
MET000067,CUST02275,20220501,2022-05-01,4,1,247.94,5704.95,1,0,22,0.6623,1
MET000068,CUST00238,20240601,2024-06-01,6,1,595.73,4992.53,6,5,18,0.8831,1
MET000069,CUST03406,20230401,2023-04-01,2,3,243.1,7036.92,3,4,5,0.0471,1
