adoption_id,customer_id,feature_id,date_id,adoption_date,activation_date,activation_lag_days,acquisition_channel,is_activated,days_to_first_transaction
ADO000001,CUST01311,FEAT003,20220124,2022-01-24,2022-01-24,0,In-App Banner,1,4.0
ADO000002,CUST04424,FEAT004,20220922,2022-09-22,2022-09-29,7,Push Notification,1,22.0
ADO000003,CUST02490,FEAT005,20230309,2023-03-09,2023-03-25,16,In-App Banner,0,18.0
ADO000004,CUST00905,FEAT001,20220303,2022-03-03,2022-03-29,26,Email,1,50.0
ADO000005,CUST03056,FEAT004,20220923,2022-09-23,2022-10-13,20,Organic,1,56.0
ADO000006,CUST04158,FEAT001,20221229,2022-12-29,2023-01-01,3,Push Notification,1,38.0
ADO000007,CUST00392,FEAT006,20220508,2022-05-08,2022-05-22,14,In-App Banner,1,39.0
ADO000008,CUST02441,FEAT001,20230810,2023-08-10,2023-09-02,23,In-App Banner,1,55.0
ADO000009,CUST00043,FEAT003,20230410,2023-04-10,2023-04-20,10,Organic,1,56.0
ADO000010,CUST01935,FEAT002,20230819,2023-08-19,2023-09-06,18,In-App Banner,0,60.0
ADO000011,CUST04369,FEAT002,20220828,2022-08-28,2022-09-08,11,In-App Banner,0,10.0
ADO000012,CUST02452,FEAT006,20221019,2022-10-19,2022-11-09,21,Push Notification,1,55.0
ADO000013,CUST04693,FEAT003,20220524,2022-05-24,2022-06-15,22,Referral,1,59.0
ADO000014,CUST03094,FEAT001,20230617,2023-06-17,2023-07-10,23,Email,1,3.0
ADO000015,CUST02029,FEAT002,20220418,2022-04-18,2022-04-28,10,Push Notification,0,31.0
ADO000016,CUST04231,FEAT008,20230820,2023-08-20,2023-08-26,6,Email,1,
ADO000017,CUST02960,FEAT001,20230411,2023-04-11,2023-04-14,3,Push Notification,1,52.0
ADO000018,CUST01201,FEAT002,20230312,2023-03-12,2023-04-07,26,Push Notification,1,38.0
ADO000019,CUST03376,FEAT003,20220325,2022-03-25,2022-03-27,2,Referral,0,57.0
ADO000020,CUST00510,FEAT001,20230312,2023-03-12,2023-04-09,28,Push Notification,1,24.0
ADO000021,CUST01066,FEAT001,20230503,2023-05-03,2023-05-09,6,In-App Banner,1,
ADO000022,CUST03655,FEAT002,20220321,2022-03-21,2022-04-01,11,Push Notification,1,
ADO000023,CUST04312,FEAT003,20230217,2023-02-17,2023-03-07,18,Push Notification,1,4.0
ADO000024,CUST04580,FEAT003,20230616,2023-06-16,2023-07-10,24,Email,0,48.0
ADO000025,CUST03235,FEAT005,20220928,2022-09-28,2022-10-16,18,In-App Banner,1,32.0
ADO000026,CUST04087,FEAT001,20230310,2023-03-10,2023-03-24,14,Push Notification,1,29.0
ADO000027,CUST04011,FEAT007,20230303,2023-03-03,2023-03-29,26,Email,0,
ADO000028,CUST01335,FEAT004,20220528,2022-05-28,2022-06-13,16,Email,0,33.0
ADO000029,CUST01042,FEAT005,20230512,2023-05-12,2023-06-03,22,Referral,1,8.0
ADO000030,CUST03750,FEAT007,20220513,2022-05-13,2022-06-12,30,Referral,1,48.0
ADO000031,CUST04205,FEAT001,20230626,2023-06-26,2023-06-29,3,In-App Banner,1,
ADO000032,CUST01742,FEAT005,20230412,2023-04-12,2023-04-27,15,Email,1,50.0
ADO000033,CUST00268,FEAT005,20220610,2022-06-10,2022-07-10,30,In-App Banner,1,41.0
ADO000034,CUST04580,FEAT004,20230114,2023-01-14,2023-02-12,29,Email,0,12.0
ADO000035,CUST00973,FEAT005,20230223,2023-02-23,2023-02-26,3,Referral,1,
ADO000036,CUST00991,FEAT005,20230114,2023-01-14,2023-02-01,18,Push Notification,1,14.0
ADO000037,CUST02373,FEAT002,20220211,2022-02-11,2022-02-27,16,Push Notification,1,
ADO000038,CUST01256,FEAT008,20220501,2022-05-01,2022-05-12,11,Organic,1,52.0
ADO000039,CUST02498,FEAT003,20230119,2023-01-19,2023-01-28,9,In-App Banner,0,
ADO000040,CUST02409,FEAT002,20230513,2023-05-13,2023-05-13,0,Push Notification,1,21.0
ADO000041,CUST01171,FEAT003,20220526,2022-05-26,2022-06-20,25,Email,1,56.0
ADO000042,CUST04831,FEAT003,20230308,2023-03-08,2023-03-09,1,In-App Banner,1,34.0
ADO000043,CUST02500,FEAT002,20221018,2022-10-18,2022-10-24,6,Email,1,1.0
ADO000044,CUST01500,FEAT005,20230516,2023-05-16,2023-05-16,0,Organic,1,38.0
ADO000045,CUST01003,FEAT005,20230715,2023-07-15,2023-07-26,11,Push Notification,1,38.0
ADO000046,CUST00554,FEAT002,20220215,2022-02-15,2022-02-28,13,Email,1,
ADO000047,CUST03942,FEAT004,20230810,2023-08-10,2023-08-19,9,Email,1,1.0
ADO000048,CUST04635,FEAT003,20230409,2023-04-09,2023-05-07,28,Referral,1,52.0
ADO000049,CUST02768,FEAT005,20230122,2023-01-22,2023-02-06,15,In-App Banner,1,2.0
ADO000050,CUST04962,FEAT001,20220516,2022-05-16,2022-06-09,24,In-App Banner,1,
ADO000051,CUST01135,FEAT001,20230601,2023-06-01,2023-06-21,20,In-App Banner,1,52.0
ADO000052,CUST03776,FEAT002,20230406,2023-04-06,2023-04-27,21,Push Notification,0,9.0
ADO000053,CUST03679,FEAT001,20220602,2022-06-02,2022-06-29,27,Push Notification,1,10.0
ADO000054,CUST02665,FEAT005,20220402,2022-04-02,2022-04-27,25,Organic,0,
ADO000055,CUST03356,FEAT004,20230201,2023-02-01,2023-02-08,7,In-App Banner,1,18.0
ADO000056,CUST03240,FEAT006,20221214,2022-12-14,2022-12-31,17,Email,0,
ADO000057,CUST00376,FEAT001,20230330,2023-03-30,2023-04-22,23,Push Notification,1,49.0
ADO000058,CUST02273,FEAT002,20220401,2022-04-01,2022-04-28,27,Push Notification,1,
ADO000059,CUST01357,FEAT007,20220126,2022-01-26,2022-02-13,18,In-App Banner,1,
ADO000060,CUST02531,FEAT002,20230729,2023-07-29,2023-08-18,20,Organic,0,21.0
ADO000061,CUST01015,FEAT001,20230727,2023-07-27,2023-07-29,2,Referral,1,39.0
ADO000062,CUST01577,FEAT002,20230709,2023-07-09,2023-07-27,18,Organic,1,26.0
ADO000063,CUST00434,FEAT003,20230807,2023-08-07,2023-08-23,16,Push Notification,1,12.0
ADO000064,CUST01552,FEAT001,20230503,2023-05-03,2023-05-19,16,Push Notification,1,
ADO000065,CUST00153,FEAT003,20220504,2022-05-04,2022-05-25,21,Referral,1,6.0
ADO000066,CUST04357,FEAT006,20220704,2022-07-04,2022-08-03,30,Email,0,19.0
ADO000067,CUST00156,FEAT003,20221009,2022-10-09,2022-11-03,25,Email,1,30.0
ADO000068,CUST01686,FEAT004,20220909,2022-09-09,2022-10-05,26,Push Notification,1,60.0
ADO000069,CUST04748,FEAT002,20230331,2023-03-31,2023-04-02,2,Referral,1,10.0
ADO000070,CUST04371,FEAT007,20221125,2022-11-25,2022-12-07,12,In-App Banner,1,24.0
ADO000071,CUST04825,FEAT002,20220216,2022-02-16,2022-03-03,15,Email,1,
ADO000072,CUST00191,FEAT002,20221215,2022-12-15,2022-12-28,13,Push Notification,1,32.0
ADO000073,CUST01479,FEAT003,20230301,2023-03-01,2023-03-01,0,In-App Banner,1,
ADO000074,CUST04325,FEAT001,20221121,2022-11-21,2022-12-03,12,Email,1,25.0
ADO000075,CUST02107,FEAT002,20220404,2022-04-04,2022-04-07,3,Push Notification,1,60.0
ADO000076,CUST00814,FEAT002,20230709,2023-07-09,2023-07-14,5,Email,1,35.0
ADO000077,CUST02338,FEAT003,20220528,2022-05-28,2022-06-02,5,Email,1,47.0
ADO000078,CUST02094,FEAT001,20220402,2022-04-02,2022-04-06,4,Referral,1,50.0
ADO000079,CUST02514,FEAT001,20230222,2023-02-22,2023-03-15,21,Referral,0,41.0
ADO000080,CUST01387,FEAT002,20220302,2022-03-02,2022-03-21,19,Email,1,1.0
ADO000081,CUST02665,FEAT003,20220705,2022-07-05,2022-07-05,0,In-App Banner,1,42.0
ADO000082,CUST00480,FEAT001,20221102,2022-11-02,2022-11-14,12,Push Notification,1,11.0
ADO000083,CUST00809,FEAT007,20221124,2022-11-24,2022-11-28,4,Push Notification,1,
ADO000084,CUST03382,FEAT003,20221128,2022-11-28,2022-12-06,8,Push Notification,1,
ADO000085,CUST03077,FEAT003,20220504,2022-05-04,2022-05-05,1,Email,0,32.0
ADO000086,CUST01660,FEAT007,20220903,2022-09-03,2022-09-27,24,Organic,1,47.0
ADO000087,CUST04891,FEAT001,20220831,2022-08-31,2022-09-15,15,In-App Banner,1,34.0
ADO000088,CUST04167,FEAT005,20230601,2023-06-01,2023-06-13,12,In-App Banner,1,36.0
ADO000089,CUST00943,FEAT002,20221003,2022-10-03,2022-10-04,1,Push Notification,1,60.0
ADO000090,CUST02608,FEAT002,20230421,2023-04-21,2023-05-08,17,Push Notification,1,26.0
ADO000091,CUST03335,FEAT001,20220309,2022-03-09,2022-03-24,15,In-App Banner,1,
ADO000092,CUST00237,FEAT003,20230222,2023-02-22,2023-03-14,20,Push Notification,1,
ADO000093,CUST01915,FEAT001,20220120,2022-01-20,2022-01-28,8,Referral,0,
ADO000094,CUST04539,FEAT001,20220414,2022-04-14,2022-04-21,7,Referral,1,14.0
ADO000095,CUST04545,FEAT003,20220509,2022-05-09,2022-05-18,9,Push Notification,1,
ADO000096,CUST04656,FEAT005,20230221,2023-02-21,2023-03-07,14,In-App Banner,1,3.0
ADO000097,CUST00688,FEAT004,20230528,2023-05-28,2023-06-03,6,Email,1,39.0
ADO000098,CUST01167,FEAT003,20230118,2023-01-18,2023-02-04,17,Referral,1,20.0
ADO000099,CUST01378,FEAT001,20220909,2022-09-09,2022-09-26,17,Push Notification,1,39.0
ADO000100,CUST03472,FEAT004,20230723,2023-07-23,2023-08-06,14,Push Notification,1,16.0
ADO000101,CUST00343,FEAT007,20220102,2022-01-02,2022-01-28,26,Push Notification,1,43.0
ADO000102,CUST03807,FEAT006,20221024,2022-10-24,2022-11-13,20,Push Notification,1,20.0
ADO000103,CUST01372,FEAT002,20220101,2022-01-01,2022-01-02,1,Email,1,
ADO000104,CUST03951,FEAT003,20221007,2022-10-07,2022-10-26,19,Referral,0,25.0
ADO000105,CUST02056,FEAT005,20230125,2023-01-25,2023-02-05,11,Organic,1,
ADO000106,CUST01743,FEAT001,20230823,2023-08-23,2023-09-18,26,Email,0,
ADO000107,CUST04181,FEAT004,20221016,2022-10-16,2022-10-17,1,Referral,1,
ADO000108,CUST01323,FEAT001,20230701,2023-07-01,2023-07-19,18,Referral,1,47.0
ADO000109,CUST00573,FEAT008,20221104,2022-11-04,2022-11-06,2,Referral,1,12.0
ADO000110,CUST03239,FEAT003,20220506,2022-05-06,2022-06-01,26,Email,1,44.0
ADO000111,CUST01145,FEAT001,20230724,2023-07-24,2023-08-01,8,Referral,0,25.0
ADO000112,CUST03539,FEAT005,20220804,2022-08-04,2022-08-23,19,In-App Banner,1,1.0
ADO000113,CUST04136,FEAT006,20221122,2022-11-22,2022-12-20,28,Referral,1,52.0
ADO000114,CUST02807,FEAT004,20220925,2022-09-25,2022-10-19,24,In-App Banner,1,25.0
ADO000115,CUST03709,FEAT003,20221007,2022-10-07,2022-10-14,7,Referral,1,
ADO000116,CUST02635,FEAT002,20221216,2022-12-16,2022-12-22,6,In-App Banner,1,31.0
ADO000117,CUST03767,FEAT004,20221203,2022-12-03,2022-12-03,0,In-App Banner,1,
ADO000118,CUST01096,FEAT002,20220103,2022-01-03,2022-01-22,19,Email,0,
ADO000119,CUST03904,FEAT001,20220105,2022-01-05,2022-02-02,28,Email,1,29.0
ADO000120,CUST00079,FEAT003,20220627,2022-06-27,2022-07-10,13,Push Notification,0,
ADO000121,CUST04554,FEAT006,20230516,2023-05-16,2023-06-09,24,In-App Banner,1,2.0
ADO000122,CUST03218,FEAT003,20230706,2023-07-06,2023-07-08,2,Organic,1,42.0
ADO000123,CUST00636,FEAT002,20230706,2023-07-06,2023-07-06,0,Push Notification,1,48.0
ADO000124,CUST03647,FEAT001,20220507,2022-05-07,2022-05-18,11,In-App Banner,1,13.0
ADO000125,CUST03084,FEAT002,20230102,2023-01-02,2023-01-14,12,Organic,1,16.0
ADO000126,CUST01452,FEAT005,20220109,2022-01-09,2022-01-12,3,Push Notification,1,20.0
ADO000127,CUST03791,FEAT004,20230115,2023-01-15,2023-02-13,29,In-App Banner,1,14.0
ADO000128,CUST01581,FEAT001,20230401,2023-04-01,2023-04-01,0,Email,1,33.0
ADO000129,CUST01815,FEAT003,20220121,2022-01-21,2022-02-14,24,In-App Banner,1,2.0
ADO000130,CUST02304,FEAT001,20230102,2023-01-02,2023-01-08,6,Email,1,2.0
ADO000131,CUST00738,FEAT003,20221107,2022-11-07,2022-12-02,25,Organic,0,25.0
ADO000132,CUST01812,FEAT004,20220828,2022-08-28,2022-09-12,15,In-App Banner,1,59.0
ADO000133,CUST02974,FEAT001,20220207,2022-02-07,2022-02-15,8,Referral,1,
