transaction_id,customer_id,feature_id,date_id,transaction_date,transaction_type,amount_inr,transaction_status,device_type,session_duration_sec,is_repeat_user
TXN000001,CUST03811,FEAT004,20220616,2022-06-16,Transfer Receipt,15284.46,Completed,Android,353,1
TXN000002,CUST03941,FEAT001,20230117,2023-01-17,Crypto Transfer,109277.17,Completed,Android,276,1
TXN000003,CUST03301,FEAT003,20220802,2022-08-02,Alert Triggered,0.0,Completed,Android,151,1
TXN000004,CUST03637,FEAT003,20240424,2024-04-24,Budget Set,0.0,Completed,Web,134,1
TXN000005,CUST01735,FEAT001,20240317,2024-03-17,Crypto Transfer,102910.76,Completed,Android,588,1
TXN000006,CUST00835,FEAT001,20220107,2022-01-07,Crypto Sell,29147.44,Completed,Android,873,1
TXN000007,CUST03619,FEAT001,20230723,2023-07-23,Crypto Buy,104159.02,Completed,Android,718,1
TXN000008,CUST01710,FEAT007,20220826,2022-08-26,Loan Disbursed,680800.63,Completed,Android,572,1
TXN000009,CUST03518,FEAT002,20220520,2022-05-20,Savings Deposit,10795.35,Completed,iOS,702,0
TXN000010,CUST01076,FEAT002,20220822,2022-08-22,Savings Deposit,41232.16,Completed,iOS,177,1
TXN000011,CUST03423,FEAT003,20221106,2022-11-06,Budget Set,0.0,Completed,Android,47,1
TXN000012,CUST00997,FEAT003,20220922,2022-09-22,Alert Triggered,0.0,Reversed,Web,311,1
TXN000013,CUST01157,FEAT001,20220716,2022-07-16,Crypto Sell,178865.59,Pending,Android,420,1
TXN000014,CUST03199,FEAT002,20240313,2024-03-13,Savings Withdrawal,16939.79,Completed,Android,492,1
TXN000015,CUST03451,FEAT003,20220113,2022-01-13,Alert Triggered,0.0,Completed,iOS,813,0
TXN000016,CUST03309,FEAT001,20220421,2022-04-21,Crypto Buy,126641.18,Completed,iOS,395,1
TXN000017,CUST01018,FEAT007,20230513,2023-05-13,Loan Disbursed,265502.22,Completed,iOS,206,0
TXN000018,CUST01022,FEAT004,20220129,2022-01-29,Instant Transfer,54190.6,Completed,Android,661,0
TXN000019,CUST04396,FEAT005,20240502,2024-05-02,Auto-Pay,13043.0,Completed,Android,234,0
TXN000020,CUST04646,FEAT002,20220128,2022-01-28,Savings Deposit,12521.66,Completed,Web,475,0
TXN000021,CUST04954,FEAT001,20230226,2023-02-26,Crypto Sell,52626.47,Completed,iOS,559,0
TXN000022,CUST00086,FEAT003,20240224,2024-02-24,Budget Set,0.0,Completed,Android,875,1
TXN000023,CUST03215,FEAT001,20231112,2023-11-12,Crypto Transfer,173022.56,Completed,Android,516,1
TXN000024,CUST02392,FEAT006,20240131,2024-01-31,FD Created,281891.54,Completed,Android,674,1
TXN000025,CUST00842,FEAT007,20230402,2023-04-02,Loan Disbursed,828622.11,Completed,Android,709,1
TXN000026,CUST03499,FEAT001,20220428,2022-04-28,Crypto Sell,29899.88,Completed,iOS,850,1
TXN000027,CUST03078,FEAT003,20231020,2023-10-20,Alert Triggered,0.0,Completed,iOS,363,0
TXN000028,CUST04799,FEAT001,20230413,2023-04-13,Crypto Sell,75921.03,Reversed,iOS,833,0
TXN000029,CUST03505,FEAT001,20230801,2023-08-01,Crypto Sell,31941.71,Completed,iOS,406,1
TXN000030,CUST04900,FEAT003,20231125,2023-11-25,Alert Triggered,0.0,Completed,Web,71,1
TXN000031,CUST01499,FEAT003,20230718,2023-07-18,Budget Set,0.0,Completed,Android,514,1
TXN000032,CUST03727,FEAT001,20231217,2023-12-17,Crypto Transfer,59835.31,Completed,iOS,800,0
TXN000033,CUST02276,FEAT001,20240103,2024-01-03,Crypto Sell,109182.93,Completed,Android,761,1
TXN000034,CUST02384,FEAT001,20240402,2024-04-02,Crypto Sell,63029.53,Completed,iOS,279,0
TXN000035,CUST02413,FEAT002,20221029,2022-10-29,Goal Created,40588.89,Completed,Android,601,0
TXN000036,CUST01404,FEAT006,20220211,2022-02-11,FD Created,28669.81,Completed,Android,532,1
TXN000037,CUST03166,FEAT002,20230608,2023-06-08,Savings Deposit,12433.33,Completed,Android,777,0
TXN000038,CUST04279,FEAT003,20220321,2022-03-21,Budget Set,0.0,Completed,Android,526,1
TXN000039,CUST01058,FEAT006,20231123,2023-11-23,FD Created,135664.07,Completed,Android,324,1
TXN000040,CUST03437,FEAT004,20240205,2024-02-05,Transfer Reversal,36731.86,Completed,Web,192,1
TXN000041,CUST00545,FEAT001,20231103,2023-11-03,Crypto Buy,98754.25,Completed,Web,375,1
TXN000042,CUST03894,FEAT003,20220518,2022-05-18,Expense Logged,0.0,Completed,Android,844,0
TXN000043,CUST04055,FEAT001,20230411,2023-04-11,Crypto Buy,114681.02,Completed,Android,74,1
TXN000044,CUST00389,FEAT002,20220529,2022-05-29,Savings Deposit,36100.97,Completed,iOS,226,0
TXN000045,CUST00316,FEAT006,20221002,2022-10-02,FD Created,99481.52,Completed,Android,839,1
TXN000046,CUST03980,FEAT002,20230420,2023-04-20,Savings Deposit,28271.2,Completed,Web,769,1
TXN000047,CUST00229,FEAT003,20231015,2023-10-15,Budget Set,0.0,Pending,Web,163,0
TXN000048,CUST00729,FEAT002,20240510,2024-05-10,Savings Deposit,18082.97,Completed,Android,214,0
TXN000049,CUST02017,FEAT003,20230530,2023-05-30,Alert Triggered,0.0,Completed,Android,346,1
TXN000050,CUST00511,FEAT003,20240526,2024-05-26,Alert Triggered,0.0,Completed,Web,656,1
TXN000051,CUST02776,FEAT005,20230115,2023-01-15,Bill Scheduled,8793.89,Completed,Web,883,1
TXN000052,CUST01322,FEAT003,20230513,2023-05-13,Budget Set,0.0,Completed,Android,600,1
TXN000053,CUST01012,FEAT003,20220222,2022-02-22,Expense Logged,0.0,Completed,Android,234,0
TXN000054,CUST00581,FEAT001,20230903,2023-09-03,Crypto Sell,107131.42,Reversed,iOS,312,1
TXN000055,CUST04451,FEAT002,20220225,2022-02-25,Savings Withdrawal,21651.34,Completed,Web,777,1
TXN000056,CUST03125,FEAT001,20221005,2022-10-05,Crypto Sell,141354.43,Completed,Web,173,0
TXN000057,CUST00270,FEAT001,20231113,2023-11-13,Crypto Transfer,174054.87,Completed,Android,461,0
TXN000058,CUST02643,FEAT003,20220306,2022-03-06,Expense Logged,0.0,Completed,Web,386,1
TXN000059,CUST00700,FEAT006,20220516,2022-05-16,FD Renewed,497873.44,Completed,Android,286,1
TXN000060,CUST03904,FEAT004,20240511,2024-05-11,Instant Transfer,19773.49,Completed,Android,309,0
TXN000061,CUST01346,FEAT001,20240314,2024-03-14,Crypto Sell,130225.11,Completed,Web,152,1
TXN000062,CUST02977,FEAT002,20220528,2022-05-28,Savings Withdrawal,11855.46,Completed,Android,479,1
TXN000063,CUST04331,FEAT003,20230520,2023-05-20,Budget Set,0.0,Completed,iOS,815,0
TXN000064,CUST00221,FEAT001,20220107,2022-01-07,Crypto Sell,113714.54,Reversed,Android,307,0
TXN000065,CUST02834,FEAT005,20220227,2022-02-27,Auto-Pay,10467.65,Completed,Android,240,1
TXN000066,CUST02790,FEAT001,20231003,2023-10-03,Crypto Buy,95225.41,Completed,Web,714,1
TXN000067,CUST01696,FEAT003,20230612,2023-06-12,Alert Triggered,0.0,Completed,Android,149,1
TXN000068,CUST01526,FEAT007,20220718,2022-07-18,Loan Disbursed,888579.0,Completed,Android,690,1
TXN000069,CUST01586,FEAT002,20231031,2023-10-31,Savings Deposit,10786.86,Failed,Android,432,1
TXN000070,CUST01267,FEAT005,20220106,2022-01-06,Bill Scheduled,5560.37,Pending,Android,87,1
TXN000071,CUST01061,FEAT004,20231016,2023-10-16,Transfer Receipt,80315.7,Completed,iOS,540,1
TXN000072,CUST00263,FEAT001,20230402,2023-04-02,Crypto Buy,49674.14,Completed,Android,435,1
TXN000073,CUST03435,FEAT004,20240427,2024-04-27,Instant Transfer,53754.24,Completed,Android,122,1
TXN000074,CUST03559,FEAT004,20240504,2024-05-04,Transfer Reversal,60932.47,Completed,iOS,475,1
TXN000075,CUST00134,FEAT003,20230405,2023-04-05,Alert Triggered,0.0,Completed,Web,650,1
TXN000076,CUST00116,FEAT005,20221003,2022-10-03,Auto-Pay,22464.66,Completed,Android,471,0
TXN000077,CUST00179,FEAT001,20220215,2022-02-15,Crypto Transfer,67660.47,Pending,Android,806,1
TXN000078,CUST01938,FEAT002,20240128,2024-01-28,Goal Created,3334.18,Completed,Android,315,1
TXN000079,CUST04700,FEAT001,20220712,2022-07-12,Crypto Sell,195839.86,Completed,Android,657,1
TXN000080,CUST04979,FEAT005,20220311,2022-03-11,Bill Scheduled,16498.5,Pending,iOS,117,1
TXN000081,CUST02982,FEAT001,20230925,2023-09-25,Crypto Transfer,9207.63,Completed,Android,479,1
TXN000082,CUST04994,FEAT002,20231217,2023-12-17,Savings Deposit,28113.05,Completed,iOS,456,1
TXN000083,CUST01417,FEAT001,20220523,2022-05-23,Crypto Sell,188910.26,Completed,Android,371,1
TXN000084,CUST03650,FEAT004,20240628,2024-06-28,Instant Transfer,30533.93,Completed,iOS,664,1
TXN000085,CUST02138,FEAT002,20240107,2024-01-07,Goal Created,17305.58,Failed,Android,898,1
TXN000086,CUST00357,FEAT001,20230618,2023-06-18,Crypto Transfer,126909.5,Completed,Android,69,0
TXN000087,CUST03555,FEAT001,20230129,2023-01-29,Crypto Sell,5494.62,Completed,Android,268,0
TXN000088,CUST02177,FEAT005,20220114,2022-01-14,Bill Payment,14761.39,Failed,iOS,756,1
TXN000089,CUST03119,FEAT001,20240617,2024-06-17,Crypto Sell,195267.9,Failed,Android,609,1
TXN000090,CUST01788,FEAT007,20220507,2022-05-07,Loan Applied,252916.27,Completed,Android,284,0
TXN000091,CUST03095,FEAT001,20220725,2022-07-25,Crypto Buy,58650.82,Completed,iOS,576,1
TXN000092,CUST00255,FEAT002,20221003,2022-10-03,Savings Deposit,33330.38,Completed,iOS,212,1
TXN000093,CUST03165,FEAT002,20220921,2022-09-21,Savings Withdrawal,13940.32,Completed,Android,832,0
TXN000094,CUST04184,FEAT001,20220408,2022-04-08,Crypto Transfer,81343.43,Completed,iOS,309,1
TXN000095,CUST03407,FEAT008,20220409,2022-04-09,Policy Purchased,39742.49,Reversed,Android,680,0
TXN000096,CUST04132,FEAT002,20230224,2023-02-24,Savings Withdrawal,27623.64,Pending,iOS,656,1
TXN000097,CUST00896,FEAT003,20230106,2023-01-06,Expense Logged,0.0,Completed,Android,507,0
TXN000098,CUST02472,FEAT007,20231030,2023-10-30,EMI Payment,753764.72,Completed,Android,528,1
